,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9215686274509803,0.9411764705882353,0.9019607843137255,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9607843137254902,0.9607843137254902
auc,0.976923076923077,0.9892307692307692,0.9030769230769231,0.9830769230769231,0.9215384615384616,0.9353846153846155,0.9615384615384616,0.9615384615384616
sen,0.9615384615384616,0.9615384615384616,0.8461538461538461,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.9230769230769231,0.9230769230769231
spec,0.88,0.92,0.96,0.88,0.92,0.88,1.0,1.0
mcc,0.8454495831278672,0.8828978123251564,0.809900514733094,0.8454495831278672,0.8430769230769231,0.8454495831278672,0.9245003270420485,0.9245003270420485
f1_score,0.9259259259259259,0.9433962264150944,0.8979591836734695,0.9259259259259259,0.9230769230769231,0.9259259259259259,0.9600000000000001,0.9600000000000001
