,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9411764705882353,0.8627450980392157,0.9019607843137255,0.9215686274509803,0.8235294117647058,0.8823529411764706,0.7450980392156863,1.0
auc,0.9845679012345678,0.962962962962963,0.900462962962963,0.986111111111111,0.8217592592592592,0.9351851851851852,0.7453703703703703,1.0
sen,1.0,0.9166666666666666,0.875,1.0,0.7916666666666666,0.9583333333333334,0.75,1.0
spec,0.8888888888888888,0.8148148148148148,0.9259259259259259,0.8518518518518519,0.8518518518518519,0.8148148148148148,0.7407407407407407,1.0
mcc,0.8888888888888888,0.7314814814814815,0.803409423129467,0.8544932592822075,0.6455139295664503,0.7755455125006993,0.48998517333228575,1.0
f1_score,0.9411764705882353,0.8627450980392156,0.8936170212765957,0.923076923076923,0.8085106382978724,0.8846153846153847,0.7346938775510204,1.0
