,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.803921568627451,0.7254901960784313,0.7058823529411765,0.7450980392156863,0.6666666666666666,0.7254901960784313,0.803921568627451,0.9607843137254902
auc,0.9028213166144201,0.8926332288401254,0.719435736677116,0.8949843260188088,0.6739811912225706,0.7719435736677116,0.811128526645768,0.9545454545454546
sen,0.6818181818181818,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.9090909090909091
spec,0.896551724137931,0.6551724137931034,0.6206896551724138,0.6551724137931034,0.6206896551724138,0.6551724137931034,0.7586206896551724,1.0
mcc,0.5994083717502217,0.47114400558710495,0.438871473354232,0.5188087774294671,0.34526704842277683,0.47114400558710495,0.6164863840991135,0.9221929747606773
f1_score,0.7499999999999999,0.7200000000000001,0.7058823529411765,0.7450980392156864,0.6530612244897959,0.7200000000000001,0.7916666666666666,0.9523809523809523
