,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9019607843137255,0.8823529411764706,0.8823529411764706,0.9019607843137255,0.8431372549019608,0.8627450980392157,0.6666666666666666,0.9411764705882353
auc,0.9514106583072099,0.9584639498432602,0.8746081504702193,0.9404388714733543,0.8456112852664576,0.8824451410658307,0.6739811912225705,0.9373040752351097
sen,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9655172413793104,0.8275862068965517,0.9310344827586207,0.6206896551724138,0.9655172413793104
spec,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8636363636363636,0.7727272727272727,0.7272727272727273,0.9090909090909091
mcc,0.8028009455598053,0.7600142102337996,0.7600142102337996,0.8028009455598053,0.6858683259209215,0.7209152491127052,0.34526704842277683,0.8801437003544494
f1_score,0.9180327868852458,0.9,0.9,0.9180327868852458,0.8571428571428572,0.8852459016393444,0.679245283018868,0.9491525423728815
