,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9215686274509803,0.8627450980392157,0.9215686274509803,0.7058823529411765,0.9803921568627451
auc,0.9738461538461539,0.98,0.94,0.9815384615384616,0.8615384615384616,0.9400000000000001,0.7069230769230769,0.98
sen,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.6538461538461539,1.0
spec,0.88,0.88,0.88,0.84,0.8,0.84,0.76,0.96
mcc,0.888237309079831,0.888237309079831,0.888237309079831,0.8532291603080617,0.7298453413767841,0.8532291603080617,0.4157695390519128,0.9614803401237305
f1_score,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9285714285714286,0.8727272727272727,0.9285714285714286,0.693877551020408,0.9811320754716981
