,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9215686274509803,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8627450980392157,0.9019607843137255,0.8431372549019608,0.9803921568627451
auc,0.9887096774193549,0.9822580645161291,0.9032258064516129,0.9854838709677419,0.8693548387096776,0.9096774193548387,0.8620967741935484,0.9838709677419355
sen,0.9032258064516129,0.8387096774193549,0.8064516129032258,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.7741935483870968,0.967741935483871
spec,0.95,0.95,1.0,0.95,0.9,0.95,0.95,1.0
mcc,0.8411035924972384,0.7714814915189296,0.7876213522632198,0.7714814915189296,0.7248142107825108,0.8055249635115678,0.7072839743323714,0.9600307214746386
f1_score,0.9333333333333333,0.896551724137931,0.8928571428571428,0.896551724137931,0.8813559322033899,0.9152542372881356,0.8571428571428571,0.9836065573770492
