,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9411764705882353,0.9019607843137255,0.9411764705882353,0.9215686274509803,1.0
auc,0.9814814814814815,0.9814814814814815,0.962962962962963,0.9783950617283951,0.900462962962963,0.9629629629629629,0.9212962962962963,1.0
sen,1.0,1.0,1.0,1.0,0.875,1.0,0.9166666666666666,1.0
spec,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.9259259259259259,1.0
mcc,0.9245003270420485,0.9245003270420485,0.9245003270420485,0.8888888888888888,0.803409423129467,0.8888888888888888,0.8425925925925926,1.0
f1_score,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9411764705882353,0.8936170212765957,0.9411764705882353,0.9166666666666666,1.0
