,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.9019607843137255,0.8431372549019608,0.8431372549019608,0.8823529411764706,0.7843137254901961,0.8823529411764706,0.9607843137254902,0.9411764705882353
auc,0.8996913580246914,0.878858024691358,0.8402777777777777,0.9027777777777778,0.7777777777777778,0.904320987654321,0.9583333333333333,0.9421296296296298
sen,1.0,0.8888888888888888,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9259259259259259,1.0,0.9259259259259259
spec,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9583333333333334
mcc,0.8172935519138762,0.6858683259209215,0.6858683259209215,0.7714814915189296,0.5735393346764044,0.7651864316396676,0.9238226430771597,0.8828978123251564
f1_score,0.9152542372881356,0.8571428571428572,0.8571428571428572,0.896551724137931,0.8135593220338982,0.8928571428571429,0.9642857142857143,0.9433962264150944
