,Svm,Randomforest,Bayes,logisticregression,Adaboost,Knn,Decision_tree,lightgbm
acc,0.8431372549019608,0.8431372549019608,0.7647058823529411,0.7843137254901961,0.7450980392156863,0.7450980392156863,0.8823529411764706,0.8823529411764706
auc,0.9290657439446367,0.9325259515570934,0.6470588235294118,0.9307958477508651,0.7647058823529411,0.8365051903114187,0.8970588235294117,0.8970588235294117
sen,0.9411764705882353,0.9411764705882353,0.29411764705882354,0.9411764705882353,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.9411764705882353
spec,0.7941176470588235,0.7941176470588235,1.0,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.8529411764705882,0.8529411764705882
mcc,0.696597765719191,0.696597765719191,0.4662524041201569,0.610170215847752,0.5,0.5572782125753528,0.7606388292556648,0.7606388292556648
f1_score,0.7999999999999999,0.7999999999999999,0.45454545454545453,0.744186046511628,0.6829268292682927,0.7111111111111111,0.8421052631578947,0.8421052631578947
